Id,OriginLatitude,OriginLongitude,DestinationLatitude,DestinationLongitude,Miles,NumStops,Price,HazMat,Pickup
20679807,40.91,-84.92,28.54,-99.26,1408.0,2,1950.0,0,2021-02-10 12:00:00
21403866,42.78,-88.04,32.56,-105.69,1457.0,2,2400.0,0,2021-02-17 10:15:00
21408161,33.81,-96.16,33.42,-96.15,58.0,3,500.0,0,2021-02-03 13:30:00
21408204,33.39,-96.25,33.95,-96.59,27.0,2,150.0,0,2021-02-15 13:30:00
21408212,33.7,-96.11,42.62,-91.4,908.0,4,2200.0,0,2021-02-17 13:30:00
21673932,42.78,-87.96,32.71,-95.47,953.0,2,2700.0,0,2021-02-10 13:15:00
21675231,42.96,-87.13,41.78,-80.58,361.0,2,1450.0,0,2021-02-16 12:00:00
21744755,28.76,-99.21,33.53,-96.54,439.0,2,900.0,0,2021-02-01 17:30:00
21760569,26.29,-96.3,30.83,-94.18,356.0,2,1050.0,0,2021-02-03 17:45:00
21760578,26.95,-96.22,33.01,-96.6,520.0,2,1650.0,0,2021-02-04 17:45:00
21787819,28.18,-99.48,33.21,-96.25,440.0,2,990.0,0,2021-02-02 14:00:00
21788014,28.63,-99.89,33.93,-96.7,437.0,2,891.0,0,2021-02-03 14:15:00
21788036,28.51,-99.63,33.64,-96.76,435.0,2,1050.0,0,2021-02-04 14:15:00
21788116,28.91,-99.26,33.78,-96.3,442.0,2,750.0,0,2021-02-02 14:15:00
21790982,42.43,-93.01,40.42,-87.52,376.0,2,1500.0,0,2021-02-11 15:30:00
21866301,28.44,-99.67,33.75,-96.56,440.0,2,861.0,0,2021-02-11 11:45:00
21866428,28.25,-99.0,33.26,-96.73,434.0,2,864.0,0,2021-02-08 11:45:00
21866467,28.74,-99.01,33.86,-96.73,442.0,2,880.0,0,2021-02-08 11:00:00
21866522,28.94,-99.59,33.06,-96.05,434.0,2,906.0,0,2021-02-04 11:00:00
21866560,28.49,-99.43,33.13,-96.27,433.0,2,942.0,0,2021-02-09 11:00:00
21866666,28.86,-99.88,33.49,-96.02,434.0,2,950.0,0,2021-02-10 11:00:00
21866697,28.52,-99.9,33.94,-96.51,439.0,2,874.0,0,2021-02-10 11:00:00
21871769,33.72,-96.34,30.2,-95.9,290.0,2,600.0,0,2021-02-19 15:45:00
21904615,33.32,-96.35,30.24,-94.18,239.0,2,800.0,0,2021-02-01 16:30:00
21904682,33.65,-96.88,26.49,-97.16,511.0,2,800.0,0,2021-02-07 16:45:00
21908682,33.54,-96.2,28.29,-99.12,430.0,2,350.0,0,2021-02-03 09:00:00
21914262,41.7,-87.33,42.91,-87.37,43.0,2,250.0,0,2021-02-01 12:45:00
21915223,42.92,-88.4,41.53,-84.3,240.0,2,900.0,0,2021-02-02 13:30:00
21925439,40.66,-82.29,30.81,-97.84,1249.0,2,2900.0,0,2021-02-04 09:45:00
21925598,40.08,-82.55,30.37,-97.38,1252.0,2,2900.0,0,2021-02-04 09:45:00
21942186,30.35,-97.16,30.57,-95.11,114.0,2,850.0,0,2021-02-19 09:00:00
21942188,30.07,-97.72,32.83,-95.84,229.0,2,875.0,0,2021-02-19 09:00:00
21942189,30.55,-97.64,30.43,-95.43,113.0,2,800.0,0,2021-02-19 09:00:00
21942197,30.48,-97.32,33.57,-96.05,293.0,2,739.0,0,2021-02-19 09:00:00
21942358,31.0,-98.0,31.0,-98.0,12.0,2,644.0,0,2021-02-22 09:15:00
21942417,42.01,-87.43,42.48,-87.93,53.0,2,300.0,0,2021-02-01 09:15:00
21979524,41.35,-84.2,30.94,-94.14,1155.0,2,2150.0,0,2021-02-01 16:15:00
21980152,41.34,-84.72,31.08,-96.88,1172.0,2,2650.0,0,2021-02-01 16:45:00
21989314,42.0,-87.72,41.61,-80.52,364.0,2,1500.0,0,2021-02-11 09:15:00
21992835,42.48,-87.6,40.78,-82.94,322.0,2,1550.0,0,2021-02-16 13:30:00
